id,experience,start,end,grad_year,gender,ug_school,ug_rank,ug_degree,ug_grad_year,mba_school,mba_rank,industry_category,Ethnicity_category,jobtype,jobtitle,jobSalary,job_title_clean,joinCol
20.0,3,1992,1993,1989.0,male,,,,,university of pennsylvania - the wharton school,3.0,computers,eu,other,teaching fellow general chemistry,80138.65764035295,teaching fellow general chemistry,1
21.0,5,2013,2014,1977.0,male,"university of massachusetts, amherst",63.0,arts,1974.0,temple university - james e. beasley school of law,1000.0,management,eu,management,vice president human resource operations labor and employee resources,90952.50585768468,vice president human resource operations labor  employee resources,1
21.0,6,2007,2013,1977.0,male,"university of massachusetts, amherst",63.0,arts,1974.0,temple university - james e. beasley school of law,1000.0,computers,eu,management,vice president labor relations,110857.93347011796,vice president labor relations,1
21.0,7,2002,2005,1977.0,male,"university of massachusetts, amherst",63.0,arts,1974.0,temple university - james e. beasley school of law,1000.0,engineering,eu,other,vp human resources americas,170643.4693606696,vp human resources americas,1
22.0,1,2015,0,1998.0,male,university of pennsylvania - the wharton school,3.0,science,1997.0,hope college,1000.0,finance,eu,management,managing broker owner,85016.83349373021,managing broker owner,1
25.0,8,2012,0,1996.0,male,boston university,39.0,science,1992.0,university of pennsylvania - the wharton school,3.0,computers,in,other,investor and strategic advisor,94954.82634196896,investor  strategic advisor,1
20223.0,6,2013,2014,2006.0,male,,,,,st. xavier's college,1000.0,computers,eu,other,investor and strategic advisor,94954.82634196896,investor  strategic advisor,1
25.0,4,2010,0,1996.0,male,boston university,39.0,science,1992.0,university of pennsylvania - the wharton school,3.0,computers,in,other,early investor and board observer,78130.70695057538,early investor  board observer,1
25.0,10,2009,0,1996.0,male,boston university,39.0,science,1992.0,university of pennsylvania - the wharton school,3.0,computers,in,other,early investor and special advisor,80357.80021076347,early investor  special advisor,1
25.0,11,2001,2005,1996.0,male,boston university,39.0,science,1992.0,university of pennsylvania - the wharton school,3.0,computers,in,management,senior manager websearch and syndication,94161.15363790432,senior manager websearch  syndication,1
25.0,12,2000,2001,1996.0,male,boston university,39.0,science,1992.0,university of pennsylvania - the wharton school,3.0,computers,in,consultant,sales manager strategic accounts,111705.98981952536,sales manager strategic accounts,1
29.0,1,2015,0,2015.0,male,"indian institute of technology, delhi",146.0,science,2008.0,wharton business school,1000.0,computers,in,management,director enterprise,132612.10480976308,director enterprise,1
32.0,2,2013,2016,2004.0,male,ecole centrale de lyon,1000.0,science,1999.0,wharton business school,1000.0,computers,eu,management,vice president workforce readiness committee 2014 2015,103988.37887008392,vice president workforce readiness committee  ,1
32.0,3,2008,2011,2004.0,male,ecole centrale de lyon,1000.0,science,1999.0,wharton business school,1000.0,engineering,eu,management,strategy director north america,107709.628971884,strategy director north america,1
32.0,4,2007,2008,2004.0,male,ecole centrale de lyon,1000.0,science,1999.0,wharton business school,1000.0,engineering,eu,management,subsea strategy manager,97930.12168688864,subsea strategy manager,1
33.0,1,2016,0,2004.0,female,,,,,yale university,3.0,computers,eu,management,sr manager principal amazon independent publishing global programs,138686.3957947199,sr manager principal amazon independent publishing global programs,1
33.0,2,2015,2016,2004.0,female,,,,,yale university,3.0,computers,eu,management,manager amazon independent publishing global programs,83830.59654035565,manager amazon independent publishing global programs,1
33.0,3,2013,2015,2004.0,female,,,,,yale university,3.0,computers,eu,other,country lead amazon independent publishing brazil,83148.33814482405,country lead amazon independent publishing brazil,1
39.0,1,2014,0,1999.0,male,,,,,tel aviv university,1000.0,computers,eu,management,head of growth marketing partners,98683.4739689844,head  growth marketing partners,1
39.0,7,2000,2001,1999.0,male,,,,,tel aviv university,1000.0,computers,eu,other,law clerk justice t or,87264.34408106764,law clerk justice t or,1
43.0,1,2015,0,2011.0,male,university of toronto,1000.0,science,,university of pennsylvania - the wharton school,3.0,computers,eu,other,head of product digital,108906.16974432852,head  product digital,1
43.0,2,2011,2015,2011.0,male,university of toronto,1000.0,science,,university of pennsylvania - the wharton school,3.0,computers,eu,management,general manager pagemodo,102825.3065262532,general manager ,1
45.0,4,2011,2012,2007.0,male,university of pennsylvania,8.0,science,2007.0,university of pennsylvania - the wharton school,3.0,computers,in,management,co founder led product and marketing,109817.63312759182,co founder led product  marketing,1
47.0,2,2014,2016,2008.0,male,,,,,university of pennsylvania - the wharton school,3.0,computers,eu,management,senior manager product strategy and business operations,118133.76951148183,senior manager product strategy  business operations,1
47.0,3,2013,2014,2008.0,male,,,,,university of pennsylvania - the wharton school,3.0,computers,eu,management,manager business operations sales,102464.29628236244,manager business operations sales,1
50.0,1,2015,0,2003.0,male,punjab engineering college,10.0,science,1992.0,university of pennsylvania - the wharton school,3.0,computers,in,other,chief strategy and corporate development officer,141606.87880999985,chief strategy  corporate development officer,1
50.0,4,2008,2014,2003.0,male,punjab engineering college,10.0,science,1992.0,university of pennsylvania - the wharton school,3.0,computers,in,management,director worldwide strategy and transformation,114030.26859996606,director worldwide strategy  transformation,1
50.0,5,2005,2008,2003.0,male,punjab engineering college,10.0,science,1992.0,university of pennsylvania - the wharton school,3.0,computers,in,intern,principal internet business solutions group and worldwide service provider operations,109519.76820572455,principal internet business solutions group  worldwide service provider operations,1
51.0,1,2014,0,2011.0,male,tel aviv university,1000.0,science,2008.0,university of pennsylvania - the wharton school,3.0,computers,eu,management,manager quantitative business analytics,99281.90293530175,manager quantitative business analytics,1
51.0,2,2013,0,2011.0,male,tel aviv university,1000.0,science,2008.0,university of pennsylvania - the wharton school,3.0,computers,eu,other,revenue insight analyst,81077.88512793764,revenue insight analyst,1
53.0,2,2012,2014,2000.0,male,united states naval academy,5.0,science,1993.0,university of pennsylvania - the wharton school,3.0,computers,eu,management,director technology investment banking,136999.12732752896,director technology investment banking,1
15330.0,8,2004,2009,1992.0,male,,,,,university of michigan,35.0,computers,eu,management,director technology investment banking,136999.12732752896,director technology investment banking,1
54.0,3,2013,2014,2011.0,male,wabash college,1000.0,arts,,university of pennsylvania - the wharton school,3.0,computers,eu,consultant,freelance consultant contractor,74215.43314374301,freelance consultant contractor,1
55.0,2,2012,2013,2008.0,male,the hebrew university,1000.0,science,2004.0,university of pennsylvania - the wharton school,3.0,computers,eu,management,senior director online media and product,100541.15111862936,senior director online media  product,1
55.0,3,2009,2012,2008.0,male,the hebrew university,1000.0,science,2004.0,university of pennsylvania - the wharton school,3.0,computers,eu,management,director online media,85681.08012936184,director online media,1
56.0,1,2016,0,1999.0,female,,,,,"university of california, berkeley",3.0,computers,eu,other,head of vendor management physical music,94634.961609559,head  vendor management physical music,1
56.0,2,2014,2016,1999.0,female,,,,,"university of california, berkeley",3.0,computers,eu,management,manager vendor management movies and tv,100416.20954649078,manager vendor management movies  tv,1
56.0,3,2012,2014,1999.0,female,,,,,"university of california, berkeley",3.0,computers,eu,management,sr marketing manager and wedding registry product manager kitchen and dining,117544.43883697034,sr marketing manager  wedding registry product manager kitchen  dining,1
56.0,4,2010,2012,1999.0,female,,,,,"university of california, berkeley",3.0,computers,eu,other,sr buyer grocery and gourmet,121782.82400061778,sr buyer grocery  gourmet,1
56.0,6,2004,2008,1999.0,female,,,,,"university of california, berkeley",3.0,computers,eu,management,membership and communications manager roots and shoots program,85939.31960753769,membership  communications manager roots  shoots program,1
56.0,8,2002,2002,1999.0,female,,,,,"university of california, berkeley",3.0,computers,eu,intern,roots and shoots intern,72981.88970055505,roots  shoots intern,1
56.0,9,2001,2002,1999.0,female,,,,,"university of california, berkeley",3.0,computers,eu,other,research assistant to dr katharine milton,79892.2861666372,research assistant  dr  milton,1
56.0,10,1999,2001,1999.0,female,,,,,"university of california, berkeley",3.0,finance,eu,other,client services assistant,73958.77771345366,client services assistant,1
77779.0,2,2007,2008,2003.0,female,,,,,university of southern california,1000.0,finance,eu,other,client services assistant,73958.77771345366,client services assistant,1
57.0,1,2003,0,1993.0,male,university of pennsylvania,8.0,science,1987.0,university of pennsylvania - the wharton school,3.0,computers,eu,other,business development product development officer,114421.5408967474,business development product development officer,1
57.0,4,2001,2002,1993.0,male,university of pennsylvania,8.0,science,1987.0,university of pennsylvania - the wharton school,3.0,computers,eu,other,principal health and life sciences,101207.5274853534,principal health  life sciences,1
6751.0,1,2015,0,1990.0,male,oregon state university,1000.0,science,1984.0,university of southern california - marshall school of business,32.0,finance,eu,other,principal health and life sciences,101207.5274853534,principal health  life sciences,1
57.0,5,2000,2000,1993.0,male,university of pennsylvania,8.0,science,1987.0,university of pennsylvania - the wharton school,3.0,computers,eu,consultant,svp operations consultant,141507.8209097872,svp operations consultant,1
57.0,6,1997,1999,1993.0,male,university of pennsylvania,8.0,science,1987.0,university of pennsylvania - the wharton school,3.0,computers,eu,management,director healthcare consulting,130566.33873071035,director healthcare consulting,1
32996.0,4,2003,2009,1999.0,male,the university of texas at austin,11.0,science,1993.0,the university of texas at austin - red mccombs school of business,16.0,computers,eu,management,director healthcare consulting,130566.33873071035,director healthcare consulting,1
75.0,1,2015,0,1994.0,male,,,,,desales university,1000.0,computers,eu,management,executive vice president and chief human resources officer chro,141288.9270612126,executive vice president  chief human resources officer ,1
75.0,5,2003,2007,1994.0,male,,,,,desales university,1000.0,science,eu,other,vp compensation hris and iap,115703.41942987512,vp compensation hris  ,1
75.0,6,1996,2003,1994.0,male,,,,,desales university,1000.0,management,eu,management,director hr consulting,122690.54707220834,director hr consulting,1
119.0,4,2010,2012,2008.0,female,massachusetts institute of technology,4.0,science,,university of pennsylvania - the wharton school,3.0,entertainment,eu,management,senior manager sales planning and analysis,109239.9316955922,senior manager sales planning  analysis,1
119.0,5,2009,2010,2008.0,female,massachusetts institute of technology,4.0,science,,university of pennsylvania - the wharton school,3.0,entertainment,eu,management,manager sales planning and analysis,109667.26206192374,manager sales planning  analysis,1
119.0,6,2008,2009,2008.0,female,massachusetts institute of technology,4.0,science,,university of pennsylvania - the wharton school,3.0,computers,eu,management,project manager planning and procurement,100551.43872917876,project manager planning  procurement,1
123.0,1,2014,0,2013.0,male,university of pennsylvania,8.0,arts,,university of pennsylvania - the wharton school,3.0,computers,eu,management,co founder and chief creative officer,131487.7977045756,co founder  chief creative officer,1
126.0,2,2013,2015,2011.0,female,dartmouth college,11.0,arts,2004.0,university of pennsylvania - the wharton school,3.0,computers,eu,other,flurry analytics,77659.33664372811,flurry analytics,1
127.0,2,2015,0,1995.0,male,bucknell university,7.0,science,1988.0,university of north carolina at chapel hill - kenan-flagler business school,15.0,management,eu,other,head of client engagement,103712.1278102717,head  client engagement,1
127.0,4,2011,2012,1995.0,male,bucknell university,7.0,science,1988.0,university of north carolina at chapel hill - kenan-flagler business school,15.0,engineering,eu,other,head of innovation program,105796.2915805357,head  innovation program,1
127.0,5,2009,2010,1995.0,male,bucknell university,7.0,science,1988.0,university of north carolina at chapel hill - kenan-flagler business school,15.0,engineering,eu,management,executive director operational excellence,128344.13899840556,executive director operational excellence,1
129.0,2,2012,2014,1999.0,female,vanderbilt university,15.0,science,1991.0,university of pennsylvania - the wharton school,3.0,management,eu,management,senior director of marketing corporate creative and research,116440.62851788622,senior director  marketing corporate creative  research,1
129.0,3,2012,2012,1999.0,female,vanderbilt university,15.0,science,1991.0,university of pennsylvania - the wharton school,3.0,management,eu,management,director of corporate marketing and research,97214.34749844078,director  corporate marketing  research,1
129.0,4,2008,2011,1999.0,female,vanderbilt university,15.0,science,1991.0,university of pennsylvania - the wharton school,3.0,computers,eu,consultant,marketing consultant to kaplan university,75478.43180821465,marketing consultant   university,1
129.0,6,2005,2007,1999.0,female,vanderbilt university,15.0,science,1991.0,university of pennsylvania - the wharton school,3.0,management,eu,management,sr manager marketing programs,122238.49880954516,sr manager marketing programs,1
74005.0,1,2015,0,2010.0,male,college of the holy cross,1000.0,arts,1997.0,queen's university,1000.0,management,eu,management,sr manager marketing programs,122238.49880954516,sr manager marketing programs,1
129.0,9,2000,2000,1999.0,female,vanderbilt university,15.0,science,1991.0,university of pennsylvania - the wharton school,3.0,management,eu,management,manager market strategy development,100706.68064143644,manager market strategy development,1
130.0,2,2011,2014,2003.0,female,university of virginia,16.0,science,1996.0,university of pennsylvania - the wharton school,3.0,management,eu,management,senior director sales effectiveness consulting,105759.50456511525,senior director sales effectiveness consulting,1
130.0,3,2007,2010,2003.0,female,university of virginia,16.0,science,1996.0,university of pennsylvania - the wharton school,3.0,finance,eu,management,senior client manager global lodging group,109424.50000964254,senior client manager global lodging group,1
130.0,4,2006,2007,2003.0,female,university of virginia,16.0,science,1996.0,university of pennsylvania - the wharton school,3.0,management,eu,management,client manager merchant services,84064.08454701408,client manager merchant services,1
130.0,5,2005,2006,2003.0,female,university of virginia,16.0,science,1996.0,university of pennsylvania - the wharton school,3.0,management,eu,management,senior director member services,150572.6176092664,senior director member services,1
130.0,6,2003,2004,2003.0,female,university of virginia,16.0,science,1996.0,university of pennsylvania - the wharton school,3.0,management,eu,management,director member retention,119493.5109548591,director member retention,1
132.0,2,2013,2015,2006.0,female,georgetown university,20.0,science,2004.0,saint joseph's university,1000.0,management,in,management,director of content development,108048.37555367842,director  content development,1
132.0,3,2012,2013,2006.0,female,georgetown university,20.0,science,2004.0,saint joseph's university,1000.0,computers,in,management,director of curriculum design,104681.13606376392,director  curriculum design,1
132.0,4,2012,2012,2006.0,female,georgetown university,20.0,science,2004.0,saint joseph's university,1000.0,computers,in,intern,intern education programs and outcomes,71962.53345265953,intern education programs  outcomes,1
132.0,5,2010,2011,2006.0,female,georgetown university,20.0,science,2004.0,saint joseph's university,1000.0,management,in,management,founder and application editor,109049.45789184445,founder  application editor,1
132.0,6,2008,2010,2006.0,female,georgetown university,20.0,science,2004.0,saint joseph's university,1000.0,management,in,management,associate director of development and marketing,107331.10821243309,associate director  development  marketing,1
133.0,1,2015,0,1997.0,female,"university of california, berkeley",3.0,arts,1994.0,"university of california, berkeley",3.0,healthcare,eu,management,administrative director of clinical services,106139.35311051854,administrative director  clinical services,1
133.0,2,2013,2015,1997.0,female,"university of california, berkeley",3.0,arts,1994.0,"university of california, berkeley",3.0,healthcare,eu,other,senior leader and continuum administrator napa solano service area,94437.2167703174,senior leader  continuum administrator napa  service area,1
133.0,3,2011,2013,1997.0,female,"university of california, berkeley",3.0,arts,1994.0,"university of california, berkeley",3.0,healthcare,eu,management,associate director performance excellence northern california regional offices,97872.64588548182,associate director performance excellence northern california regional offices,1
133.0,4,2004,2010,1997.0,female,"university of california, berkeley",3.0,arts,1994.0,"university of california, berkeley",3.0,healthcare,eu,management,manager strategic support and gme programs,100542.16591841882,manager strategic support  gme programs,1
133.0,5,2002,2004,1997.0,female,"university of california, berkeley",3.0,arts,1994.0,"university of california, berkeley",3.0,healthcare,eu,intern,senior project manager internal resource group,98927.53810457766,senior project manager internal resource group,1
133.0,6,2001,2002,1997.0,female,"university of california, berkeley",3.0,arts,1994.0,"university of california, berkeley",3.0,management,eu,other,assistant controller office of the dean ucsf school of medicine,71477.30982100734,assistant controller office  the dean  school  medicine,1
133.0,7,1999,2001,1997.0,female,"university of california, berkeley",3.0,arts,1994.0,"university of california, berkeley",3.0,management,eu,management,division manager department of medicine geriatrics and center on aging,90171.7318411593,division manager department  medicine geriatrics  center on aging,1
133.0,8,1997,1999,1997.0,female,"university of california, berkeley",3.0,arts,1994.0,"university of california, berkeley",3.0,management,eu,management,practice manager department of anesthesia and perioperative care,103133.4345228223,practice manager department  anesthesia  perioperative care,1
135.0,2,2014,2014,2010.0,male,,,,,ils law college,1000.0,legal,in,academia,law student counselor,63118.585036260905,law student counselor,1
144.0,1,2016,0,2004.0,female,,,,,fundação getúlio vargas,1000.0,retail,eu,management,executive vice president human resources,141288.9270612126,executive vice president human resources,1
144.0,2,2013,2016,2004.0,female,,,,,fundação getúlio vargas,1000.0,management,eu,management,vice president of human resources south america and president of avon foundation brazil,113506.26466960344,vice president  human resources south america  president  avon foundation brazil,1
144.0,4,2008,2010,2004.0,female,,,,,fundação getúlio vargas,1000.0,retail,eu,management,senior director human resources m&a and post merger integration,103294.08661114555,senior director human resources   post merger integration,1
144.0,5,2005,2008,2004.0,female,,,,,fundação getúlio vargas,1000.0,retail,eu,other,global talent management diretor,112594.12010491676,global talent management diretor,1
144.0,6,2004,2005,2004.0,female,,,,,fundação getúlio vargas,1000.0,retail,eu,management,regional business improvement senior manager,106200.58601974435,regional business improvement senior manager,1
146.0,1,2016,0,2005.0,male,,,,,university of pennsylvania - the wharton school,3.0,retail,eu,management,senior manager of human capital strategy,117603.82227672476,senior manager  human capital strategy,1
148.0,2,2014,2015,2003.0,male,babson college,1000.0,science,1997.0,imd business school,1000.0,healthcare,eu,management,president merck brasil and general manager biopharma brasil,118970.55049145484,president merck brasil  general manager biopharma brasil,1
148.0,1,2014,0,2003.0,male,babson college,1000.0,science,1997.0,imd business school,1000.0,healthcare,eu,management,president latin america,102349.25144212632,president latin america,1
7960.0,3,2008,2012,1997.0,male,instituto tecnológico y de estudios superiores de monterrey,1000.0,science,1981.0,university of southern california - marshall school of business,32.0,computers,eu,management,president latin america,102349.25144212632,president latin america,1
148.0,3,2011,2014,2003.0,male,babson college,1000.0,science,1997.0,imd business school,1000.0,healthcare,eu,management,general manager biopharma india,100974.25073471497,general manager biopharma india,1
148.0,4,2009,2011,2003.0,male,babson college,1000.0,science,1997.0,imd business school,1000.0,healthcare,eu,management,business unit director biopharma japan,118606.48424284357,business unit director biopharma japan,1
148.0,5,2007,2009,2003.0,male,babson college,1000.0,science,1997.0,imd business school,1000.0,healthcare,eu,other,head of commercial development emerging markets,111209.09990440332,head  commercial development emerging markets,1
148.0,6,2007,2007,2003.0,male,babson college,1000.0,science,1997.0,imd business school,1000.0,healthcare,eu,other,integration project leader,89882.37618010702,integration project leader,1
148.0,7,2004,2007,2003.0,male,babson college,1000.0,science,1997.0,imd business school,1000.0,healthcare,eu,management,head of group strategy and ceo office,124226.4782932196,head  group strategy  ceo office,1
149.0,3,2008,2012,1993.0,male,,,,,temple university - fox school of business and management,1000.0,finance,eu,management,chief operating officer and partner,139198.0351046344,chief operating officer  partner,1
14035.0,5,2003,2009,1989.0,male,,,,,duke university,8.0,management,eu,management,chief operating officer and partner,139198.0351046344,chief operating officer  partner,1
152.0,4,2010,2011,2002.0,male,,,,,"wharton school, university of pennsylvania",1000.0,computers,eu,other,head of asset management,107881.9878968122,head  asset management,1
153.0,2,2005,0,1991.0,female,,,,,hampton university,1000.0,finance,eu,management,senior vice president chief administrative officer,149625.05705589184,senior vice president chief administrative officer,1
155.0,2,2010,0,2003.0,female,university of pennsylvania - the wharton school,3.0,science,1995.0,university of michigan - stephen m. ross school of business,12.0,computers,as,other,chief right hand and head of hired hands,91033.9435694358,chief right hand  head  hired hands,1
156.0,2,2015,2015,2010.0,male,,,,,university of pennsylvania - the wharton school,3.0,finance,eu,intern,pre mba investment analyst intern,71798.54646947967,pre mba investment analyst intern,1
157.0,4,2008,2008,2003.0,female,,,,,harvard university,0.0,management,in,management,project manager strategy and business development,96560.00783048684,project manager strategy  business development,1
158.0,4,2012,2013,1992.0,male,university of pennsylvania - the wharton school,3.0,science,1987.0,university of pennsylvania- the graduate school of arts and sciences,1000.0,science,eu,academia,asst adjunct professor finance department private equity course,79108.0116056936,asst adjunct professor finance department private equity course,1
158.0,1,2003,0,1992.0,male,university of pennsylvania - the wharton school,3.0,science,1987.0,university of pennsylvania- the graduate school of arts and sciences,1000.0,finance,eu,management,managing director general partner,131926.8310250763,managing director general partner,1
158.0,8,1999,2003,1992.0,male,university of pennsylvania - the wharton school,3.0,science,1987.0,university of pennsylvania- the graduate school of arts and sciences,1000.0,finance,eu,management,managing director general partner,131926.8310250763,managing director general partner,1
163.0,1,2016,0,2015.0,male,san jose state university,22.0,science,2002.0,university of pennsylvania - the wharton school,3.0,finance,eu,other,chief of staff planning and development,112674.58408116542,chief  staff planning  development,1
163.0,2,2015,0,2015.0,male,san jose state university,22.0,science,2002.0,university of pennsylvania - the wharton school,3.0,finance,eu,management,project manager mba development program,81331.33685542832,project manager mba development program,1
164.0,1,2016,0,2010.0,female,,,,,university of pennsylvania - the wharton school,3.0,management,eu,technical,technical product manager product specialist analytics engineering,107041.17735483608,technical product manager product specialist analytics engineering,1
164.0,2,2015,2016,2010.0,female,,,,,university of pennsylvania - the wharton school,3.0,finance,eu,management,manager of ad operations,97126.15110077584,manager  ad operations,1
164.0,7,2011,2012,2010.0,female,,,,,university of pennsylvania - the wharton school,3.0,management,eu,other,assistant media strategist,85827.66901623235,assistant media strategist,1
164.0,8,2011,2011,2010.0,female,,,,,university of pennsylvania - the wharton school,3.0,management,eu,other,associate search strategist,87847.47300619548,associate search strategist,1
164.0,9,2010,2011,2010.0,female,,,,,university of pennsylvania - the wharton school,3.0,management,eu,other,traffic coordinator,89981.16441731282,traffic coordinator,1
168.0,2,2012,0,2001.0,female,,,,,harvard university,0.0,healthcare,eu,management,ceo and partner,134379.02971392736,ceo  partner,1
81279.0,1,2014,0,2001.0,male,washington university in st. louis - olin business school,1000.0,science,1994.0,carnegie mellon university - tepper school of business,8.0,engineering,eu,management,ceo and partner,134379.02971392736,ceo  partner,1
168.0,3,2009,2012,2001.0,female,,,,,harvard university,0.0,finance,eu,other,senior corporate real estate strategy and planning,103245.94359290846,senior corporate real estate strategy  planning,1
172.0,2,2015,2016,2006.0,male,university of pennsylvania - the wharton school,3.0,science,2002.0,harvard law school,2.0,computers,eu,management,general manager baltimore and greater maryland,119530.45582571252,general manager baltimore  greater maryland,1
172.0,4,2013,2014,2006.0,male,university of pennsylvania - the wharton school,3.0,science,2002.0,harvard law school,2.0,finance,eu,other,special advisor office of consumer response,81505.34015352189,special advisor office  consumer response,1
172.0,5,2009,2011,2006.0,male,university of pennsylvania - the wharton school,3.0,science,2002.0,harvard law school,2.0,management,eu,management,vice president of business development and general counsel,145716.95080726407,vice president  business development  general counsel,1
172.0,6,2008,2009,2006.0,male,university of pennsylvania - the wharton school,3.0,science,2002.0,harvard law school,2.0,management,eu,other,technology innovation and government reform policy group,85966.7136141972,technology innovation  government reform policy group,1
172.0,7,2008,2008,2006.0,male,university of pennsylvania - the wharton school,3.0,science,2002.0,harvard law school,2.0,management,eu,management,national vote director constituency outreach team,95692.4565465248,national vote director constituency outreach team,1
174.0,1,2016,0,2013.0,female,university of pennsylvania - the wharton school,3.0,science,2014.0,iep lyon/ université lumière lyon 2,1000.0,computers,eu,other,associate growth and new businesses,105579.23834682412,associate growth  new businesses,1
176.0,2,2009,0,1986.0,male,,,,,university of pennsylvania - the wharton school,3.0,management,in,other,board member and strategic and operations advisor,102480.00703752755,board member  strategic  operations advisor,1
176.0,5,2000,2003,1986.0,male,,,,,university of pennsylvania - the wharton school,3.0,management,in,management,chief operating officer coo and partner,152917.8042443124,chief operating officer coo  partner,1
176.0,7,1998,1999,1986.0,male,,,,,university of pennsylvania - the wharton school,3.0,management,in,other,publisher lapidary journal,78800.43507814623,publisher lapidary journal,1
176.0,8,1987,1998,1986.0,male,,,,,university of pennsylvania - the wharton school,3.0,management,in,management,publisher executive vice president and part owner,128069.382364592,publisher executive vice president  part owner,1
176.0,9,1986,1987,1986.0,male,,,,,university of pennsylvania - the wharton school,3.0,finance,in,other,sales associate investment banking,93538.5663321463,sales associate investment banking,1
177.0,2,2015,2016,2013.0,male,university of pennsylvania - the wharton school,3.0,science,2008.0,harvard business school,0.0,management,eu,management,senior director of growth,142437.32299021925,senior director  growth,1
177.0,3,2014,2015,2013.0,male,university of pennsylvania - the wharton school,3.0,science,2008.0,harvard business school,0.0,management,eu,management,director of growth,137510.82988913893,director  growth,1
45393.0,1,2015,0,2011.0,male,georgetown university,20.0,science,2004.0,uc berkeley haas school of business,3.0,computers,eu,management,director of growth,137510.82988913893,director  growth,1
65342.0,1,2015,0,2007.0,male,,,,,the university of chicago booth school of business,2.0,retail,eu,management,director of growth,137510.82988913893,director  growth,1
91660.0,3,2013,2014,2011.0,female,university of maryland college park,24.0,science,2006.0,university of north carolina at chapel hill - kenan-flagler business school,15.0,finance,eu,management,director of growth,137510.82988913893,director  growth,1
179.0,3,2016,0,2012.0,male,the ohio state university,1000.0,science,2009.0,georgia state university,1000.0,finance,eu,other,mentor in residence fundraising and accelerators,79812.30067896431,mentor in residence fundraising  accelerators,1
179.0,4,2015,2016,2012.0,male,the ohio state university,1000.0,science,2009.0,georgia state university,1000.0,computers,eu,other,senior associate at techstars nyc,92333.33633866432,senior associate at  nyc,1
179.0,6,2014,2015,2012.0,male,the ohio state university,1000.0,science,2009.0,georgia state university,1000.0,finance,eu,intern,accelerator operations intern,70871.93734871653,accelerator operations intern,1
181.0,2,2014,2014,1993.0,male,connecticut college,1000.0,arts,1986.0,university of pennsylvania - the wharton school,3.0,management,eu,finance,interim head of finance and administration,94930.49501598383,interim head  finance  administration,1
181.0,3,2009,2014,1993.0,male,connecticut college,1000.0,arts,1986.0,university of pennsylvania - the wharton school,3.0,finance,eu,consultant,cfo and head of account management,118663.56078650797,cfo  head  account management,1
181.0,10,2008,2009,1993.0,male,connecticut college,1000.0,arts,1986.0,university of pennsylvania - the wharton school,3.0,computers,eu,consultant,acting cfo and business development consultant,122860.97097237696,acting cfo  business development consultant,1
181.0,11,2006,2008,1993.0,male,connecticut college,1000.0,arts,1986.0,university of pennsylvania - the wharton school,3.0,finance,eu,other,evp operations cfo,150857.2819428888,evp operations cfo,1
181.0,12,2001,2005,1993.0,male,connecticut college,1000.0,arts,1986.0,university of pennsylvania - the wharton school,3.0,finance,eu,other,acting cfo svp sales and corporate development,151278.15600238947,acting cfo svp sales  corporate development,1
181.0,14,1996,1998,1993.0,male,connecticut college,1000.0,arts,1986.0,university of pennsylvania - the wharton school,3.0,management,eu,management,vp director of business affairs,145529.3591312318,vp director  business affairs,1
181.0,15,1993,1996,1993.0,male,connecticut college,1000.0,arts,1986.0,university of pennsylvania - the wharton school,3.0,engineering,eu,other,controller leadership associate,114042.21884163316,controller leadership associate,1
